FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021",CHANGE IN EMISSIONS (2020 TO 2021),CHANGE IN EMISSIONS (2011 TO 2021),SECTORS
THE GEORGE WASHINGTON UNIVERSITY,1001922,2025 F ST NW,38.89735,-77.045339,WASHINGTON,DISTRICT OF COLUMBIA,DC,20052,THE GEORGE WASHINGTON UNIVERSITY (100%),C,"26,088",---,---,---,---,"27,369","33,595","35,387","34,986","33,973",---,---,---,Other
TRUSTEES OF PRINCETON UNIVERSITY,1001868,DEPT OF ENGINEERING MACMILLAN BLDG ELM DR,40.354641,-74.646744,PRINCETON,MERCER COUNTY,NJ,08543,THE TRUSTEES OF PRINCETON UNIVERSITY (100%),C,"87,393","101,460","83,542","85,575","81,702","75,262","82,233","98,674","81,589","68,723","71,614","2,892","-15,778",Other
The Ohio State University,1000396,1314 KINNEAR ROAD,40.0008,-83.0158,COLUMBUS,Franklin,OH,43212,State of Ohio (100%),C,"149,244","143,236","152,098","166,298","159,750","151,461","148,413","156,279","148,496","138,885","142,264","3,379","-6,980",Other
The President and Fellows of Harvard University (Cambridge Allston Blackstone),1000656,46 Blackstone Street,42.3636,-71.1161,Cambridge,Middlesex,MA,02139,PRESIDENT & FELLOWS OF HARVARD COLLEGE (100%),C,"74,824","64,839","69,223","69,798","69,309","80,210","79,996","82,860","83,227","73,613","76,533","2,920","1,709",Other
The University of NC Chapel Hill,1000234,501 CAMERON AVE,35.9069,-79.0617,CHAPEL HILL,Orange,NC,27599,STATE OF NORTH CAROLINA (100%),C,"265,696","228,850","230,180","256,653","269,731","249,983","260,771","249,429","227,737","197,498","201,214","3,716","-64,482",Other
The University of Texas Southwestern Medical Center at Dallas,1000842,5323 Harry Hines Blvd.,32.81285,-96.83874,Dallas,DALLAS COUNTY,TX,75390,UNIVERSITY OF TEXAS SYSTEM (100%),C,"49,053","39,279","56,418","55,671","56,767","51,172","52,019","73,242","67,927","69,098","60,913","-8,184","11,861",Other
UC Berkeley,1013042,317 University Hall,37.871889,-122.265978,Berkeley,ALAMEDA COUNTY,CA,94720,STATE OF CALIFORNIA (100%),C,---,---,---,---,---,---,"121,887","123,100","131,014","124,269","118,447","-5,822",---,Other
UMASS MEDICAL SCHOOL,1006902,55 LAKE AVE NORTH,42.27863,-71.759025,WORCESTER,WORCESTER COUNTY,MA,01655,COMMONWEALTH OF MASSACHUSETTS (100%),C,"76,710","76,194","86,429","84,158","88,467","86,227","86,929","90,669","84,996","87,863","89,040","1,176","12,329",Other
UMASS PHYSICAL PLANT BUILDING,1005136,360 CAMPUS CENTER WAY,42.389978,-72.537008,AMHERST,HAMPSHIRE COUNTY,MA,01003,UNIVERSITY OF MASSACHUSETTS (100%),C,"107,215","102,618","105,430","113,707","111,015","103,717","113,012","108,229","110,408","94,333","104,454","10,121","-2,760",Other
UNIV OF IOWA MAIN PWR PLANT,1004790,207 BURLINGTON ST W,41.657377,-91.539961,IOWA CITY,JOHNSON COUNTY,IA,52242,THE UNIVERSITY OF IOWA (100%),C,"219,864","192,735","225,067","250,875","202,680","151,234","156,489","167,153","176,909","153,483","152,018","-1,465","-67,846",Other
UNIV OF OK HEALTH S/OKC CAMPUS SVCS,1000143,800 NE 15TH ST,35.48447,-97.49865,OKLAHOMA CITY,OKLAHOMA COUNTY,OK,73104,UNIVERSITY OF OKLAHOMA (100%),C,"36,705","33,738","37,822","33,535","37,332","37,183","37,605","38,273","40,925","42,354","42,759",405,"6,054",Other
UNIVERSITY OF CALIFORNIA DAVIS,1002726,1 SHIELDS AVENUE,38.54061,-121.74814,DAVIS,YOLO COUNTY,CA,95616,UC REGENTS (100%),C,"61,947","58,131","57,775","53,075","54,699","54,293","56,353","56,280","54,289","50,895","50,946",51,"-11,002",Other
UNIVERSITY OF CALIFORNIA SAN DIEGO,1002612,9500 GILMAN DRIVE #0089,32.876831,-117.235661,LA JOLLA,SAN DIEGO COUNTY,CA,92093,STATE OF CALIFORNIA (100%),C,"160,456","152,644","148,306","147,477","148,917","154,791","148,878","151,421","159,921","150,685","160,812","10,127",357,Other
"UNIVERSITY OF CALIFORNIA, IRVINE",1006873,4600 HEALTH SCIENCES ROAD,33.63895,-117.85127,IRVINE,ORANGE COUNTY,CA,92697,STATE OF CALIFORNIA (100%),C,"69,985","73,950","71,075","73,408","70,917","71,447","72,832","68,967","69,212","69,069","69,038",-31,-947,Other
UNIVERSITY OF CHICAGO,1005868,6101 S BLACKSTONE,41.784606,-87.590155,CHICAGO,COOK COUNTY,IL,60637,UNIVERSITY OF CHICAGO (100%),C,"102,322","100,840","112,267","116,355","114,897","102,581","105,306","113,122","112,859","103,609","106,246","2,637","3,924",Other
UNIVERSITY OF CINCINNATI,1000036,3000 Glendora Ave.,39.13457,-84.50982,CINCINNATI,HAMILTON COUNTY,OH,45219,UNIVERSITY OF CINCINNATI (100%),C,"166,855","181,761","138,443","101,058","106,534","139,109","156,734","160,482","159,459","147,967","169,645","21,678","2,790",Other
UNIVERSITY OF CONNECTICUT,1004266,"25 LEDOYT RD, U-3252",41.809771,-72.261402,STORRS MANSFIELD,TOLLAND COUNTY,CT,06269,STATE OF CONNECTICUT (100%),C,"98,111","93,783","96,931","98,072","99,295","94,852","97,136","99,660","102,138","111,503","96,107","-15,396","-2,004",Other
UNIVERSITY OF DELAWARE,1003722,222 SOUTH CHAPEL STREET,39.67548,-75.74335,NEWARK,NEW CASTLE COUNTY,DE,19716,UNIVERSITY OF DELAWARE (100%),C,"36,478","34,763","39,075","39,036","38,174","39,529","40,791","43,026","42,411","37,977","39,231","1,254","2,753",Other
UNIVERSITY OF ILLINOIS,1001893,354 ADMINISTRATION BUILDING,40.104712,-88.242048,CHAMPAIGN,CHAMPAIGN COUNTY,IL,61820,UNIVERSITY OF ILLINOIS (100%),C,"271,689","245,737","283,676","281,788","254,971","248,301","236,628","228,199","173,244","178,522","199,047","20,525","-72,641",Other
UNIVERSITY OF ILLINOIS AT CHICAGO,1004756,1100 SOUTH MORGAN STREET,41.8716,-87.64152,CHICAGO,COOK COUNTY,IL,60607,UNIVERSITY OF ILLINOIS (100%),C,"159,416","137,218","146,488","152,185","137,292","121,405","112,562","140,664","145,262","130,884","134,969","4,085","-24,446",Other
UNIVERSITY OF KENTUCKY,1004659,211Q Peterson Service Bldg,38.02,-84.5,LEXINGTON,FAYETTE COUNTY,KY,40506,UNIVERSITY OF KENTUCKY (100%),C,"127,928","106,904","98,166","101,278","89,749","87,984","82,555","80,386","80,637","70,644","74,656","4,012","-53,272",Other
UNIVERSITY OF MISSOURI MU POWER PLANT,1003703,401 East Stewart Street,38.94601,-92.33328,COLUMBIA,BOONE COUNTY,MO,65211,UNIVERSITY OF MISSOURI SYSTEM (100%),C,---,---,---,---,---,---,---,"142,518","140,276","131,864","149,230","17,366",---,Other
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1007163,4315 EMILE,41.2542,-95.978059,OMAHA,DOUGLAS COUNTY,NE,68198,STATE OF NEBRASKA (100%),C,"30,494","27,460","31,496","31,256","26,411","27,066","32,166","34,989","34,248","31,992","32,231",239,"1,737",Other
UNIVERSITY OF NEW MEXICO,1005636,"1801 TUCKER STREET, NE BUILDING 233",35.083933,-106.625396,ALBUQUERQUE,BERNALILLO COUNTY,NM,87131,STATE OF NEW MEXICO (100%),C,"40,422","42,097","43,050","53,203","56,350","53,859","53,673","62,639","63,525","71,541","71,504",-37,"31,082",Other
UNIVERSITY OF NORTHERN IOWA - POWER PLANT/MAIN CAMPUS,1005033,1901 W. 30th St,42.51021,-92.4682,CEDAR FALLS,BLACK HAWK COUNTY,IA,50614,UNIVERSITY OF NORTHERN IOWA (100%),C,"64,381","84,768","95,367","96,372","89,329","82,198","86,105","73,513","66,952","51,445","65,601","14,156","1,220",Other
UNIVERSITY OF NOTRE DAME,1004373,100 FACILTIES BUILDING,41.7094,-86.2367,NOTRE DAME,ST. JOSEPH COUNTY,IN,46556,UNIVERSITY OF NOTRE DAME DU LAC (100%),C,"165,551","146,966","133,163","143,720","130,013","146,230","152,041","154,485","149,325","121,763","121,551",-212,"-44,000",Other
